Zipcode,Case Counts,Death Counts,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts(Per 1000),Case Counts(Per 1000)
10001,7745,57,25026,36.1,10.98,76.38,12.64,49.01,50.99,54.51,6.14,0.04,20.78,0.25,2.17,15.68,91461.0,96787.0,11.59,26.32,2.52,1.16,46.67,3.02,30.22,0.43,12.78,13311.0,1.79,30.49,69.51,15365.0,86.63,13.37,27.05,72.95,403800.0,18.79,81.21,7.56,9.95,10.28,43.84,28.37,28.71,19.08,49.55,2.25,3.52,21.46,4.13,2.2776312634859743,309.47814273155916
10002,19171,412,74363,44.8,13.09,63.18,23.74,49.29,50.71,22.16,7.77,0.5,41.7,0,1.59,25.76,34078.0,35607.0,27.52,32.68,6.13,3.51,51.55,4.8,23.73,0.52,8.28,33790.0,2.15,39.43,60.57,36530.0,92.5,7.5,14.49,85.51,696900.0,8.19,91.81,33.86,18.66,12.98,23.86,10.65,41.04,5.55,79.01,0.61,1.27,12.85,0.7,5.5403897099363935,257.80293963395775
10003,13634,84,54671,31.9,7.18,80.16,12.66,48.78,51.22,67.98,5.01,0.07,15.07,0.13,2.82,8.66,100740.0,129981.0,8.87,24.98,3.93,1.28,46.88,5.07,25.63,0.27,13.89,25158.0,1.78,28.23,71.77,29977.0,83.92,16.08,34.53,65.47,989500.0,29.29,70.71,4.43,5.18,9.23,45.16,36.0,18.84,30.11,41.21,1.84,6.09,15.72,5.03,1.5364635730094565,249.38267088584442
10004,973,2,3310,38.4,7.37,84.23,8.4,47.34,52.66,66.89,4.5,0,18.88,0.36,3.14,5.83,182463.0,204949.0,2.81,25.96,2.64,0.59,41.99,0.16,30.01,0.39,24.06,1822.0,1.81,51.11,48.89,2306.0,79.01,20.99,38.25,61.75,1892400.0,15.71,84.29,0.45,2.07,3.48,45.67,48.33,20.36,27.89,53.26,2.97,7.42,2.08,6.38,0.6042296072507553,293.95770392749245
10005,2323,1,8664,30.4,10.2,88.73,1.06,47.68,52.32,70.16,2.01,0,17.47,0,4.25,6.11,120941.0,184681.0,7.54,23.81,1.49,0.23,57.23,0,30.91,3.17,6.98,4649.0,1.86,32.13,67.87,5979.0,77.76,22.24,15.81,84.19,1159600.0,27.24,72.76,0.25,6.48,1.6,51.52,40.15,17.68,36.36,41.91,0.72,9.01,8.49,3.52,0.11542012927054478,268.1209602954755
10006,1048,1,3260,33.1,10.49,88.99,0.52,44.05,55.95,63.13,4.79,0,17.21,0,4.66,8.8,128585.0,185268.0,6.29,27.81,0.68,0.72,61.24,0.86,28.26,1.41,8.25,1811.0,1.8,46.94,53.06,2219.0,81.61,18.39,19.16,80.84,941300.0,28.72,71.28,0,1.79,5.08,41.46,51.66,28.16,37.47,41.61,1.63,3.38,13.29,2.61,0.3067484662576687,321.4723926380368
10009,15057,182,58267,37.0,10.66,74.48,14.86,46.96,53.04,51.41,7.1,0.11,14.46,0.01,3.4,23.13,57170.0,68220.0,24.28,32.31,5.29,0.98,55.79,5.89,18.41,0.39,11.18,29356.0,1.96,31.19,68.81,31277.0,93.86,6.14,7.39,92.61,476000.0,13.25,86.75,12.34,13.02,13.21,36.96,24.47,23.88,23.53,48.94,0.88,4.28,17.85,4.52,3.1235519247601555,258.4138534676575
10010,7673,62,34763,36.1,13.24,70.13,16.62,49.52,50.48,61.59,10.79,0,14.83,0,2.85,9.03,103737.0,139188.0,10.08,31.59,8.25,1.7,44.99,3.46,25.08,0.9,12.87,16499.0,1.92,41.15,58.85,19155.0,86.13,13.87,30.3,69.7,966500.0,18.18,81.82,3.45,9.67,10.69,37.25,38.93,20.51,18.6,50.18,4.25,0.52,21.55,4.91,1.7835054511981128,220.7231826942439
10011,12973,99,50228,41.9,8.94,74.62,16.44,50.64,49.36,69.74,4.02,0,8.85,0.01,3.36,13.69,123969.0,136208.0,9.71,24.18,4.89,1.09,50.85,3.0,22.29,0.33,13.75,28775.0,1.67,32.95,67.05,34105.0,84.37,15.63,38.56,61.44,1084700.0,19.48,80.52,3.8,4.87,10.42,40.24,40.67,23.49,30.24,35.81,4.23,3.67,21.1,4.95,1.9710121844389583,258.2822330174405
10012,5648,29,23034,35.0,7.91,77.55,14.54,47.63,52.37,68.99,2.24,0,17.28,0,3.1,8.31,101031.0,110490.0,10.99,24.46,3.44,2.3,45.07,4.28,24.4,0.08,15.36,12574.0,1.72,34.65,65.35,14779.0,85.08,14.92,17.89,82.11,1731700.0,21.18,78.82,4.49,5.94,7.67,46.37,35.54,26.17,31.77,46.3,1.31,4.93,12.08,3.62,1.2590084223322047,245.202743770079
10013,7892,64,28657,39.2,15.49,67.06,17.45,50.06,49.94,57.65,2.83,0.1,28.27,0,3.94,6.65,128763.0,130675.0,8.77,26.13,3.89,1.54,42.96,1.87,24.81,0.57,18.1,12294.0,2.18,48.78,51.22,14756.0,83.32,16.68,26.88,73.12,0,18.52,81.48,16.4,7.04,7.65,40.57,28.34,33.04,21.65,59.49,1.27,5.88,6.7,5.02,2.2333112328575915,275.39519140175173
10014,7032,45,29071,38.2,8.12,75.42,16.46,49.53,50.47,82.93,1.47,0.04,4.1,0,3.02,8.27,131591.0,136154.0,5.8,26.58,6.11,1.63,51.65,4.34,16.96,0.17,13.77,17139.0,1.67,33.04,66.96,20877.0,82.1,17.9,28.75,71.25,1221600.0,15.88,84.12,0.91,5.23,9.39,45.65,38.83,16.42,44.49,20.95,5.3,3.81,14.54,10.91,1.5479343675828143,241.89054384094115
10016,13967,94,52912,32.4,8.91,76.31,14.77,48.29,51.71,62.2,2.77,0.07,18.18,0,3.37,12.67,103622.0,124647.0,7.64,24.65,3.22,1.42,34.77,1.95,43.74,0.74,11.49,29005.0,1.77,32.56,67.44,35125.0,82.58,17.42,26.49,73.51,871400.0,20.96,79.04,4.18,5.2,10.41,41.71,38.49,26.26,28.1,47.25,2.44,2.2,17.58,2.43,1.7765346235258541,263.96658602963413
10017,4291,43,16065,40.9,7.32,70.46,22.22,45.04,54.96,69.0,2.72,0,20.17,0,3.14,4.27,114820.0,130417.0,7.09,28.09,6.94,1.34,35.87,0.48,41.61,0.7,11.58,9858.0,1.61,39.63,60.37,12880.0,76.54,23.46,36.08,63.92,752800.0,17.31,82.69,4.59,3.0,7.18,40.48,44.74,34.37,29.83,45.15,5.04,0.72,10.05,9.2,2.6766262060379704,267.1023965141612
10018,3714,13,8135,33.4,5.81,84.04,10.14,52.85,47.15,49.43,3.72,0,29.28,0,2.34,14.64,102739.0,136360.0,11.74,26.41,2.39,1.19,44.15,1.98,38.02,0.59,9.58,4321.0,1.86,37.2,62.8,5154.0,83.84,16.16,13.1,86.9,680200.0,25.11,74.89,7.45,6.62,10.14,38.79,37.0,45.11,24.77,44.28,2.75,1.8,19.81,6.59,1.5980331899200984,456.5457897971727
10019,12718,101,45521,39.5,6.72,76.04,17.24,53.56,46.44,56.44,4.04,0.08,18.57,0.08,2.74,17.6,109919.0,101651.0,11.88,26.31,4.27,0.92,39.4,2.49,34.34,0.45,13.47,27340.0,1.65,35.61,64.39,33471.0,81.68,18.32,22.79,77.21,947500.0,21.58,78.42,3.63,9.41,13.29,37.05,36.62,32.25,22.9,39.82,4.54,1.4,26.31,5.03,2.218756178467081,279.38753542321126
10021,8217,117,42253,42.4,15.46,59.93,24.61,44.7,55.3,80.88,0.25,0.88,11.11,0.2,1.47,5.12,122940.0,130968.0,5.25,29.63,6.92,2.71,46.99,1.09,24.08,0.09,12.11,22084.0,1.89,55.13,44.87,29204.0,75.62,24.38,45.97,54.03,1492900.0,18.16,81.84,1.84,6.03,11.58,35.84,44.71,18.14,28.17,47.1,2.77,1.45,16.34,4.18,2.769034151421201,194.47139848058126
10022,6532,72,31574,48.1,9.9,61.87,28.22,46.82,53.18,76.0,1.14,0.15,10.82,0,2.09,9.72,148503.0,138661.0,5.08,26.38,5.48,2.09,31.56,1.3,37.93,0.08,15.75,17977.0,1.72,49.62,50.38,23942.0,75.09,24.91,48.82,51.18,999100.0,15.55,84.45,2.38,5.37,9.15,36.8,46.29,20.03,31.34,42.7,1.72,1.87,19.13,3.24,2.280357255970102,206.87907772217648
10023,12850,125,62228,42.9,13.79,63.51,22.7,43.96,56.04,72.58,4.3,0.06,11.21,0,2.74,8.49,124872.0,137347.0,6.61,30.08,6.06,1.89,50.64,3.54,17.61,0.62,15.22,33770.0,1.79,46.1,53.9,41828.0,80.74,19.26,39.51,60.49,1450300.0,13.62,86.38,1.91,5.08,10.0,35.63,47.38,24.89,35.02,38.02,6.44,2.69,13.72,4.12,2.0087420453815,206.49868226521824
10024,11302,137,60714,41.2,17.1,62.54,20.36,43.09,56.91,78.03,2.46,0,6.76,0,1.86,10.8,128591.0,137126.0,8.0,31.38,4.94,1.68,59.2,2.56,8.15,0.09,17.73,28850.0,2.07,52.82,47.18,34929.0,82.6,17.4,37.44,62.56,1743700.0,17.38,82.62,4.11,5.4,7.94,35.77,46.79,18.85,42.1,20.69,3.22,4.5,24.88,4.6,2.2564812069703857,186.1514642421847
10025,20004,402,92162,40.6,13.76,65.86,20.37,45.91,54.09,54.48,8.44,0.06,9.97,0.01,2.84,23.73,79978.0,99067.0,14.94,33.69,4.45,2.01,59.58,2.26,12.18,0.47,16.96,40188.0,2.16,40.96,59.04,47372.0,84.83,15.17,31.18,68.82,1055900.0,15.66,84.34,10.0,9.48,12.71,29.53,38.28,25.15,19.78,30.42,3.92,1.96,40.32,3.61,4.361884507714676,217.05258132419002
10026,9349,129,38937,35.4,19.17,70.06,10.77,46.59,53.41,20.87,49.43,0.09,6.14,0,3.7,19.54,45903.0,64716.0,20.53,35.16,7.1,1.39,69.4,1.04,7.86,0.24,10.59,15362.0,2.47,31.45,68.55,16910.0,90.85,9.15,19.11,80.89,940300.0,9.78,90.22,14.45,20.77,17.32,24.96,22.5,26.23,13.49,16.67,23.97,0.53,43.75,1.59,3.313044148239464,240.10581195264143
10027,14531,226,64728,31.1,17.39,71.55,11.05,47.08,52.92,25.97,36.81,0.28,8.43,0.01,2.7,25.13,37106.0,57010.0,22.56,33.58,6.23,0.84,59.95,2.0,16.66,0.66,13.35,23835.0,2.39,27.0,73.0,26597.0,89.62,10.38,13.17,86.83,730300.0,16.3,83.7,12.63,20.27,16.63,24.36,26.11,24.72,11.72,26.5,14.63,0.68,43.64,2.83,3.4915338029909777,224.49326412062786
10028,9821,81,47962,40.0,14.98,65.18,19.84,44.33,55.67,79.83,1.01,0,10.05,0,1.67,7.4,119570.0,131013.0,5.26,31.71,4.75,2.26,57.0,1.18,17.27,0.04,14.06,24974.0,1.91,49.78,50.22,29193.0,85.55,14.45,33.68,66.32,1301100.0,13.67,86.33,2.16,5.27,10.6,35.14,46.84,19.47,41.4,32.52,3.81,0.72,15.73,5.82,1.688836995955131,204.7662732996956
10029,21341,429,74617,37.2,19.32,65.38,15.3,44.88,55.12,15.43,26.41,0.11,10.66,0.04,1.28,44.86,32733.0,33801.0,31.09,35.48,6.04,0.8,67.85,1.68,14.2,1.22,7.32,31485.0,2.26,31.68,68.32,35038.0,89.86,10.14,6.78,93.22,651300.0,10.16,89.84,24.55,23.61,19.34,17.73,14.78,24.38,7.97,33.94,5.58,0.36,51.08,1.08,5.749360065400646,286.00721015318226
10030,6857,126,30996,36.4,19.06,68.63,12.31,43.79,56.21,10.01,54.79,0,3.33,0.01,3.76,27.63,34778.0,45555.0,26.71,38.25,9.19,2.23,68.32,1.82,9.68,0.46,7.76,12817.0,2.35,29.65,70.35,14119.0,90.78,9.22,13.64,86.36,659300.0,10.33,89.67,20.71,20.94,23.42,18.07,16.86,24.41,4.61,7.63,20.0,1.53,65.86,0.37,4.065040650406504,221.2220931733127
10031,14051,251,60280,34.8,16.06,72.9,11.03,49.54,50.46,18.6,24.51,0.08,3.73,0,2.61,49.68,32542.0,55721.0,23.41,39.19,4.94,1.82,73.09,1.29,6.12,0.79,11.47,21863.0,2.73,34.02,65.98,23809.0,91.83,8.17,13.77,86.23,494100.0,12.28,87.72,23.49,19.68,20.12,20.84,15.87,36.89,5.56,8.81,6.99,0.37,77.05,1.21,4.1639017916390175,233.09555408095554
10032,14268,305,59527,36.3,12.76,71.37,15.88,49.8,50.2,15.09,12.95,0.09,3.85,0.08,1.86,65.61,30838.0,53690.0,18.55,39.07,6.57,3.97,66.3,1.25,14.08,0.48,6.73,21814.0,2.67,31.93,68.07,23439.0,93.07,6.93,9.69,90.31,500800.0,13.09,86.91,29.1,16.76,19.52,21.73,12.89,46.33,3.2,6.8,3.12,0.14,86.33,0.41,5.123725368320258,239.6895526399785
10033,13347,213,58648,35.5,17.11,70.3,12.59,51.61,48.39,25.2,3.72,0,2.36,0,1.8,66.51,31673.0,66902.0,16.83,42.61,9.11,4.52,67.24,0.38,10.08,0.4,7.25,19689.0,2.93,37.34,62.66,21007.0,93.73,6.27,12.52,87.48,530600.0,11.03,88.97,25.07,18.19,18.66,22.34,15.74,43.46,6.91,4.74,1.33,0.49,85.93,0.6,3.6318374028099853,227.57809302960032
10034,9611,142,41933,36.4,18.88,68.27,12.84,48.02,51.98,19.32,5.84,0.09,2.89,0,1.79,69.75,32587.0,63556.0,17.25,45.64,9.37,3.87,65.27,0.3,9.93,0.32,8.23,15774.0,2.66,39.33,60.67,16677.0,94.59,5.41,8.67,91.33,397500.0,8.23,91.77,23.39,17.28,22.23,21.54,15.56,40.56,7.96,5.42,0.74,0.09,84.83,0.95,3.386354422531181,229.19896024610688
10035,9467,263,36999,36.3,19.76,66.76,13.48,48.8,51.2,12.13,35.5,0.07,3.36,0.01,2.02,45.41,26109.0,28408.0,35.04,37.95,7.5,1.46,72.38,2.16,7.72,1.5,7.08,14740.0,2.28,25.98,74.02,15730.0,93.71,6.29,8.32,91.68,642700.0,13.74,86.26,24.92,26.12,20.0,17.45,11.51,23.93,9.59,9.33,7.39,0.14,71.5,2.06,7.108300224330387,255.87178031838698
10036,11379,82,28231,37.7,6.59,79.91,13.5,53.81,46.19,52.23,5.81,0.17,19.58,0,4.44,17.68,87345.0,97720.0,13.19,28.42,3.16,1.56,44.69,2.43,31.25,0.09,11.37,17437.0,1.58,29.65,70.35,21262.0,82.01,17.99,8.62,91.38,1236900.0,22.82,77.18,7.65,8.48,12.27,39.76,31.84,33.14,20.83,49.76,2.96,2.03,20.23,4.19,2.904608409195565,403.0675498565407
10037,5186,124,19177,38.6,19.63,62.12,18.25,42.2,57.8,7.37,63.29,0.14,3.93,0,1.67,23.09,36875.0,50686.0,23.27,39.38,11.76,2.18,62.53,1.27,7.29,0.51,12.61,9797.0,1.92,24.33,75.67,10965.0,89.35,10.65,5.09,94.91,375000.0,8.64,91.36,13.13,27.25,17.38,23.8,18.44,15.06,6.37,18.46,25.0,0.38,47.65,2.15,6.466079157323877,270.42811701517445
10038,5405,70,24205,35.5,15.59,67.94,16.47,46.11,53.89,46.37,8.28,0.28,28.39,0,3.78,10.87,71549.0,95640.0,20.3,27.31,4.62,1.63,50.67,1.87,28.49,2.03,10.27,10800.0,2.13,35.76,64.24,12415.0,86.99,13.01,25.47,74.53,827700.0,17.73,82.27,18.18,10.63,10.76,37.33,23.09,27.72,22.73,64.29,0.58,0.82,9.94,1.64,2.8919644701507954,223.3009708737864
10039,6359,123,27090,35.3,23.28,66.43,10.29,45.34,54.66,8.15,53.49,0.19,1.95,0,2.4,33.45,27180.0,41363.0,29.6,41.54,9.19,1.55,75.84,2.18,3.96,0.36,5.71,11490.0,2.33,25.5,74.5,12137.0,94.67,5.33,15.34,84.66,455500.0,7.68,92.32,17.03,25.38,25.78,17.77,14.04,22.96,4.07,9.77,20.56,0,64.2,1.4,4.5404208194905875,234.7360649686231
10040,10628,261,45197,38.5,18.09,63.95,17.96,47.42,52.58,21.08,4.24,0.09,2.54,0,1.78,69.53,28633.0,53199.0,20.33,41.84,7.03,2.45,68.23,0.58,11.0,0.73,9.82,16100.0,2.72,37.04,62.96,16946.0,95.01,4.99,12.47,87.53,449200.0,11.5,88.5,24.39,18.71,19.02,22.2,15.68,47.19,7.94,4.61,1.05,0.24,85.6,0.55,5.7747195610328115,235.14835055424032
10044,2296,60,12770,41.7,15.11,65.0,19.88,45.06,54.94,43.05,12.0,0,31.91,0,3.52,9.37,61598.0,112658.0,7.99,38.71,5.47,3.28,75.95,0.55,1.87,0.15,8.34,5047.0,2.25,46.89,53.11,5728.0,88.11,11.89,25.62,74.38,919100.0,19.08,80.92,7.38,14.27,10.69,21.48,46.18,52.63,16.55,53.62,14.25,1.56,13.57,0.45,4.698512137823023,179.79639780736102
10065,7242,55,30339,37.4,15.74,64.19,20.07,43.87,56.13,73.97,1.95,0,14.48,0,1.71,7.86,138389.0,153002.0,6.0,25.11,5.04,1.38,40.86,1.6,35.02,0.03,11.53,15708.0,1.91,45.88,54.12,21801.0,72.05,27.95,31.79,68.21,1721800.0,21.97,78.03,1.75,6.72,8.55,39.23,43.75,26.61,35.9,41.51,1.6,2.54,13.37,5.08,1.812848149246844,238.70265994264807
10069,1723,3,6504,36.3,30.01,60.7,9.29,49.6,50.4,45.97,3.64,0,28.74,0,4.81,16.84,110364.0,130556.0,20.45,31.9,2.9,4.89,51.1,6.4,19.33,7.13,8.25,3106.0,2.09,58.3,41.7,3997.0,77.71,22.29,28.62,71.38,1731600.0,26.69,73.31,0.59,9.73,4.82,33.18,51.69,29.32,6.55,74.72,4.51,2.31,8.44,3.46,0.46125461254612543,264.9138991389914
10075,5324,90,22591,41.6,14.66,56.92,28.43,43.52,56.48,71.84,2.02,0.59,6.25,0.23,2.64,16.42,130081.0,123854.0,7.09,27.97,11.0,2.84,45.07,0.8,20.82,7.18,12.28,12075.0,1.83,45.49,54.51,14190.0,85.1,14.9,42.19,57.81,1083700.0,17.97,82.03,1.66,10.71,12.37,35.48,39.78,25.01,21.69,21.54,11.58,0.94,42.03,2.23,3.983887388783144,235.6690717542384
10128,13006,115,57993,40.9,13.83,67.36,18.81,43.23,56.77,68.28,4.18,0.02,9.17,0,2.88,14.72,107897.0,117926.0,7.12,33.61,6.16,1.84,60.92,1.57,12.7,0.75,11.47,29698.0,1.94,44.84,55.16,35039.0,84.76,15.24,31.06,68.94,1214600.0,18.28,81.72,4.7,7.73,7.71,36.68,43.19,23.72,32.96,32.41,3.74,2.25,25.27,3.37,1.9829979480282105,224.26844619178178
10280,1639,7,9372,43.3,17.07,74.84,8.09,53.17,46.83,66.87,0.59,0,17.97,0,3.03,11.55,121727.0,170385.0,5.11,28.6,5.89,0.24,49.11,0.9,24.23,6.68,12.94,4524.0,2.07,53.28,46.72,5247.0,86.22,13.78,26.9,73.1,1055900.0,15.68,84.32,0.97,2.21,7.21,40.74,48.87,27.93,43.2,42.02,0.84,0.57,13.03,0.34,0.7469056764831413,174.88262910798122
10301,12068,238,38001,38.4,20.79,63.04,16.17,48.43,51.57,43.8,19.28,0.04,7.75,0,4.17,24.86,38662.0,70065.0,16.31,45.29,39.81,6.57,39.73,0.37,5.09,0.1,7.15,14466.0,2.51,43.52,56.48,16494.0,87.7,12.3,43.81,56.19,523500.0,7.7,92.3,15.06,24.85,21.01,20.52,18.56,22.72,20.7,29.78,10.3,0.27,36.72,2.24,6.2629930791294965,317.5705902476251
10302,6860,76,17942,35.4,24.62,64.63,10.75,51.94,48.06,29.9,24.32,0,6.63,0,0.77,37.82,29470.0,72394.0,13.6,42.32,53.79,9.09,29.08,0,1.37,0.56,4.46,5982.0,2.98,48.99,51.01,6754.0,88.57,11.43,57.32,42.68,431700.0,6.29,93.71,14.73,34.82,22.16,19.24,9.06,24.4,7.79,17.61,11.65,0,62.95,0,4.235871140341099,382.3431055623676
10303,9140,104,27164,34.7,26.19,62.96,10.85,48.73,51.27,17.22,31.0,0.08,7.62,0,3.56,39.95,27542.0,70315.0,20.54,46.02,51.54,5.33,34.56,0.17,4.3,0.56,2.05,8490.0,3.19,45.2,54.8,9521.0,89.17,10.83,62.1,37.9,354000.0,5.35,94.65,18.18,29.81,26.3,17.58,8.13,25.24,5.12,24.41,20.26,0,49.69,0.53,3.8285966720659697,336.4747459873362
10304,13844,324,42133,39.4,21.84,63.78,14.38,48.62,51.38,41.44,25.27,0.06,9.56,0,0.62,22.65,34991.0,64394.0,18.4,46.7,44.69,5.76,40.46,0.54,3.85,0.41,4.27,14928.0,2.72,45.6,54.4,16454.0,90.73,9.27,51.41,48.59,542000.0,7.78,92.22,17.55,28.81,21.68,20.24,11.73,29.7,22.71,30.45,22.01,0.24,24.12,0.47,7.689934255808986,328.5785488809247
10305,13880,186,42968,40.5,20.24,62.43,17.34,48.36,51.64,59.21,6.45,0.04,17.18,0,2.48,14.35,35412.0,77136.0,10.6,43.63,46.18,11.01,34.78,0.31,4.79,0.28,2.17,15379.0,2.74,51.41,48.59,16800.0,91.54,8.46,67.94,32.06,493200.0,7.12,92.88,15.82,27.79,23.63,21.67,11.09,35.74,41.7,38.44,6.38,0,13.37,0.1,4.328802830013033,323.03109290634893
10306,20152,321,54318,42.2,20.4,61.17,18.43,48.06,51.94,68.18,3.09,0.06,8.54,0,2.54,17.42,38181.0,83309.0,10.04,44.54,55.96,7.87,28.17,0.02,2.2,0.17,4.66,19704.0,2.73,53.9,46.1,21077.0,93.49,6.51,69.79,30.21,557500.0,5.77,94.23,10.74,33.25,24.3,18.21,13.5,24.49,48.49,31.28,4.14,0,15.75,0.34,5.909643212194853,371.0004050222762
10307,5294,43,15053,40.3,23.11,63.03,13.86,50.69,49.31,85.56,0.11,0,4.54,0,0.89,8.9,45889.0,108808.0,5.11,43.32,70.01,6.01,17.79,0,0.91,1.07,4.21,5068.0,2.96,58.53,41.47,5292.0,95.77,4.23,78.93,21.07,728000.0,3.66,96.34,7.53,25.78,24.73,27.26,14.7,12.53,49.1,26.25,6.2,0,18.45,0,2.8565734405101972,351.69069288513913
10308,10106,104,28901,42.9,20.22,62.49,17.29,48.23,51.77,83.29,1.46,0.08,5.36,0,0.45,9.31,43496.0,110478.0,3.35,47.3,58.49,8.01,23.85,0.38,1.19,0.04,6.73,10245.0,2.82,60.34,39.66,11158.0,91.82,8.18,81.64,18.36,573900.0,5.18,94.82,4.43,29.86,24.37,23.49,17.85,19.3,61.1,21.1,7.91,0,9.79,0.11,3.5984914016816028,349.67648178263727
10309,12645,101,33896,40.5,22.38,61.22,16.4,49.56,50.44,87.29,0.38,0.35,2.38,0,0.54,8.76,44207.0,102730.0,7.47,46.61,64.87,7.11,21.02,0.09,0.85,0.3,5.59,11750.0,2.87,59.88,40.12,12125.0,96.91,3.09,82.45,17.55,610800.0,4.71,95.29,8.97,29.63,25.98,21.94,13.47,14.94,62.84,20.58,8.08,0,8.39,0.12,2.979702619778145,373.0528675949964
10310,8403,81,24168,39.3,23.87,62.14,13.99,47.77,52.23,41.79,19.5,0.07,6.19,0,1.58,30.83,37030.0,86895.0,15.15,40.81,54.83,7.11,26.99,0.1,6.77,0.05,3.25,8678.0,2.76,51.53,48.47,9732.0,89.17,10.83,59.89,40.11,503000.0,6.15,93.85,12.88,28.09,26.41,17.05,15.57,25.82,18.57,20.03,13.84,0.18,47.2,0.18,3.3515392254220457,347.6911618669315
10312,22299,202,61114,40.9,22.46,60.5,17.04,48.17,51.83,78.78,0.87,0.16,6.84,0.04,1.1,12.03,41155.0,96785.0,5.67,46.05,67.19,7.26,19.21,0.03,0.8,0.18,4.53,21107.0,2.89,56.8,43.2,22131.0,95.37,4.63,83.05,16.95,575700.0,5.46,94.54,6.95,29.23,26.28,22.15,15.39,14.94,48.09,36.85,7.83,0.3,6.89,0.03,3.3052982949896914,364.87547861373827
10314,29680,501,89938,41.7,21.31,60.52,18.17,47.76,52.24,61.21,3.25,0.16,18.04,0.03,2.04,15.2,38315.0,90306.0,9.13,42.45,58.9,9.1,24.56,0.06,2.39,0.06,3.91,31363.0,2.83,55.74,44.26,33345.0,94.06,5.94,74.24,25.76,563800.0,7.31,92.69,10.02,31.34,23.09,22.21,13.33,27.66,22.69,53.46,6.99,0.07,16.37,0.41,5.570504125063933,330.005114634526
10451,14905,282,49423,33.7,24.55,62.61,12.85,44.62,55.38,4.37,34.27,0.35,1.3,0.02,1.02,58.27,21647.0,32598.0,34.56,43.23,14.21,3.74,64.66,0.21,11.49,0.4,3.18,20229.0,2.43,31.95,68.05,20686.0,97.79,2.21,12.57,87.43,217000.0,7.29,92.71,28.34,24.35,27.32,13.66,6.33,28.8,1.41,4.57,13.47,0,78.99,1.56,5.705845456568804,301.5802359225462
10452,20930,353,74379,32.2,28.29,61.72,9.99,46.39,53.61,1.95,24.96,0.15,1.33,0.02,0.89,69.85,15445.0,31351.0,36.62,43.99,11.54,2.99,71.6,0.44,8.06,0.85,3.5,27018.0,2.71,32.41,67.59,27798.0,97.19,2.81,2.73,97.27,438600.0,7.25,92.75,32.53,27.27,27.05,9.78,3.37,40.88,0.41,3.65,12.18,0,83.66,0.1,4.745963242313018,281.3966307694376
